"Brand Code","Brand Code"
"City","City"
"Contactez-nous par Email :","Contact-us by email:"
"Country Code","Country Code"
"default developed length","longueur développé par défaut"
"Désolé, une erreure est survenu lors de la récupération de l\'étiquetes. Merci de contacter Mondial Relay ou de réessayer plus tard","Sorry, a error occured when processing your labeling. Please contact Mondial Relay support team or try again later."
"Download the current .csv shipping rates configuration file","Download the current .csv shipping rates configuration file"
"Upload the .csv shipping rates configuration file","Upload the .csv shipping rates configuration file"
"Depends on shipping rates calculated from the uploaded csv files.","Depends on shipping rates calculated from the uploaded csv files."
"Shipping rate method calculation","Shipping rate method calculation"
"Dimanche","Sunday"
"Documentation Magento Module Mondial Relay","Mondial Relay Magento Module Documentation"
"Etiquette Mondial Relay","Mondial Relay Label"
"Etiquettes","Labels"
"Fermer","Close"
"Free shipping minimum amount","Free shipping minimum amount"
"Free shipping","Free shipping"
"Horaires d\'ouverture","Opening hours"
"Impressions des étiquettes Mondial Relay","Mondial Relay label printing"
"Imprimer les étiquettes","Label printing"
"Imprimer","Print"
"Jeudi","Thursday"
"Label Printing","Label Printing"
"Le numéro de tracking sera ajouté automatiquement","Tracking number will be added automaticaly"
"Le service clientèle de Mondial Relay est disponible pour vous aider et répondre à vos questions.","Mondial Relay customer service is available to help you and answer your questions."
"Lundi","Monday"
"Mardi","Tuesday"
"Mercredi","Wednesday"
"Mobile Phone","Mobile Phone"
"Mondial Relay - Delivery in a Pickup Location (Points Relais)","Mondial Relay - Delivery in a Pickup Location (Points Relais)"
"Mondial Relay - General Settings","Mondial Relay - General Settings"
"Mondial Relay - Home Delivery","Mondial Relay - Home Delivery"
"Mondial Relay - Special Home Delivery","Mondial Relay - Special Home Delivery"
"Ou par téléphone :","Or call us :"
"Package Weight","Package Weight"
"Phone Number","Phone Number"
"Plan d\'accès au magasin","Map it"
"Please save configuration before testing connection setup","Please save configuration before testing connection setup"
"Point Relais","Point Relais"
"Pour plus d\'information, veuillez lire la documentation en cliquant sur le lien suivant :","For more information, please read the following documentation:"
"Printing format","Printing format"
"Samedi","Saturday"
"Ship to applicable countries","Ship to applicable countries"
"Ship to Specific countries","Ship to Specific countries"
"Shipping Rates Export","Shipping Rates Export"
"Shipping Rates Import","Shipping Rates Import"
"Sort order","Sort order"
"Store Address 1","Store Address 1"
"Store Address 2","Store Address 2"
"Special characters not allowed","Special characters not allowed"
"Test connection setup","Test connection setup"
"Vendredi","Friday"
"Web Service Key","Web Service Key"
"Zip Code","Zip Code"
"View","View"
"Etiquette Mondial Relay","Mondial Relay Label"
