"* Required Fields","* Champs obligatoires"
"Comment","Message"
"Contact Form","Formulaire de contact"
"Contact Information","Service Client"
"Contact Us","Nous contacter"
"Contact Us Form","Formulaire de contact"
"Contacts","Contacts"
"Contacts Section","Section de contacts"
"Email","Email"
"Email Options","Options d'email"
"Email Sender","Expéditeur de l'email"
"Email Template","Modèle d'email"
"Enable Contact Us","Activer contatez-nous"
"Name","Nom"
"Send Emails To","Envoyer emails à"
"Submit","Soumettre"
"Telephone","Téléphone"
"Unable to submit your request. Please, try again later","Impossible de soumettre votre requête. Veuillez réessayer plus tard."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Votre requête a été envoyée et nous y répondrons aussi vite que possible. Merci de nous avoir contactés."
